Variable,Unit,Country,Year,Value,Flags
"Hepatitis B","% of children immunised","Australia","2001",94,
"Hepatitis B","% of children immunised","Australia","2002",94,
"Hepatitis B","% of children immunised","Australia","2003",95,
"Hepatitis B","% of children immunised","Australia","2004",95,
"Hepatitis B","% of children immunised","Australia","2005",95,
"Hepatitis B","% of children immunised","Australia","2006",95,
"Hepatitis B","% of children immunised","Australia","2007",94,
"Hepatitis B","% of children immunised","Australia","2008",94,
"Hepatitis B","% of children immunised","Australia","2009",92,
"Hepatitis B","% of children immunised","Australia","2010",92,
"Hepatitis B","% of children immunised","Australia","2011",92,
"Hepatitis B","% of children immunised","Australia","2012",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1980",33,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1981",40,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1982",48,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1983",55,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1984",62,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1985",68,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1986",75,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1987",81,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1988",88,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1989",93,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1990",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1991",93,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1992",91,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1993",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1994",88,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1995",86,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1996",86,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1997",77,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1998",82,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","1999",88,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2000",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2001",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2002",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2003",93,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2004",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2005",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2006",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2007",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2008",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2009",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2010",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2011",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Australia","2012",92,
"Measles","% of children immunised","Australia","1983",68,
"Measles","% of children immunised","Australia","1984",68,
"Measles","% of children immunised","Australia","1985",68,
"Measles","% of children immunised","Australia","1986",68,
"Measles","% of children immunised","Australia","1987",68,
"Measles","% of children immunised","Australia","1988",77,
"Measles","% of children immunised","Australia","1989",85,
"Measles","% of children immunised","Australia","1990",86,
"Measles","% of children immunised","Australia","1991",86,
"Measles","% of children immunised","Australia","1992",86,
"Measles","% of children immunised","Australia","1993",86,
"Measles","% of children immunised","Australia","1994",86,
"Measles","% of children immunised","Australia","1995",87,
"Measles","% of children immunised","Australia","1996",87,
"Measles","% of children immunised","Australia","1997",85,
"Measles","% of children immunised","Australia","1998",82,
"Measles","% of children immunised","Australia","1999",88,
